Disease,Symptoms,Precautions,Severity,Description
Malaria,"fever, headache, chills, sweating, muscle pain","Use mosquito nets; Take antimalarial medication as prescribed; Avoid mosquito bites; Stay hydrated",severe,"A mosquito-borne parasitic infection causing high fever and chills."
Common Cold,"runny nose, sneezing, sore throat, cough, mild fever","Rest; Drink plenty of fluids; Wash hands frequently; Use saline nasal spray",mild,"A viral infection causing sneezing, sore throat, and congestion."
Influenza,"high fever, cough, sore throat, muscle aches, fatigue","Get vaccinated annually; Rest; Drink fluids; Avoid close contact with sick people",moderate,"A contagious respiratory illness caused by influenza viruses."
Tuberculosis,"persistent cough, weight loss, night sweats, fever, chest pain","Complete full antibiotic course; Avoid close contact; Maintain hygiene; Get regular checkups",severe,"Bacterial infection affecting lungs, causing chronic cough."
Pneumonia,"cough with phlegm, fever, chest pain, difficulty breathing, fatigue","Complete antibiotics; Rest; Stay hydrated; Avoid smoking",severe,"Infection causing inflammation in the lungs."
Dengue Fever,"high fever, severe headache, joint pain, rash, muscle pain","Avoid mosquito bites; Use repellents; Stay hydrated; Seek medical care promptly",severe,"Mosquito-borne viral infection causing fever and pain."
COVID-19,"fever, dry cough, fatigue, loss of taste or smell, difficulty breathing","Wear masks; Maintain social distance; Get vaccinated; Isolate if symptomatic",severe,"Respiratory disease caused by coronavirus SARS-CoV-2."
Asthma,"wheezing, shortness of breath, chest tightness, coughing, fatigue","Avoid triggers; Use inhalers as prescribed; Monitor symptoms; Regular doctor visits",moderate,"Chronic lung disease causing airway inflammation."
Diabetes Mellitus,"increased thirst, frequent urination, fatigue, blurred vision, slow healing wounds","Maintain healthy diet; Monitor blood sugar; Exercise regularly; Take medication as prescribed",severe,"Metabolic disorder causing high blood sugar levels."
Hypertension,"headache, dizziness, blurred vision, nosebleeds, chest pain","Maintain healthy diet; Exercise; Limit salt intake; Monitor blood pressure",severe,"High blood pressure increasing risk of heart disease."
Migraine,"throbbing headache, nausea, sensitivity to light, vomiting, visual disturbances","Identify triggers; Use prescribed meds; Rest in dark room; Stay hydrated",moderate,"Neurological condition causing severe headaches."
Appendicitis,"abdominal pain (right lower side), nausea, vomiting, fever, loss of appetite","Seek immediate medical care; Avoid eating or drinking; Surgery usually required",severe,"Inflammation of appendix requiring urgent treatment."
Chickenpox,"itchy rash, fever, tiredness, loss of appetite, headache","Isolate from others; Use calamine lotion; Avoid scratching; Consult doctor if severe",moderate,"Contagious viral infection causing itchy rash."
Cholera,"severe diarrhea, vomiting, dehydration, muscle cramps, weakness","Drink clean water; Use oral rehydration salts; Maintain hygiene; Seek urgent medical care",severe,"Bacterial infection causing severe diarrhea and dehydration."
Gastroenteritis,"diarrhea, vomiting, stomach cramps, fever, nausea","Stay hydrated; Eat bland foods; Practice hand hygiene; Avoid contaminated food",mild,"Inflammation of stomach and intestines."
Bronchitis,"cough, mucus production, fatigue, shortness of breath, chest discomfort","Avoid smoking; Rest; Drink fluids; Use prescribed inhalers if needed",moderate,"Inflammation of bronchial tubes causing cough."
Hepatitis B,"fatigue, jaundice, abdominal pain, dark urine, nausea","Get vaccinated; Avoid sharing needles; Practice safe sex; Regular medical checkups",severe,"Viral infection of the liver."
Urinary Tract Infection,"burning urination, frequent urge, cloudy urine, pelvic pain, fever","Drink plenty of water; Urinate often; Maintain hygiene; Complete antibiotic course",moderate,"Infection of urinary tract."
Anemia,"fatigue, weakness, pale skin, shortness of breath, dizziness","Eat iron-rich foods; Take supplements; Regular blood tests; Treat underlying causes",moderate,"Low red blood cells or hemoglobin levels."
Stroke,"sudden numbness, confusion, difficulty speaking, loss of balance, severe headache","Seek emergency care; Control blood pressure; Maintain healthy lifestyle; Follow medical advice",severe,"Disruption of blood flow to brain causing neurological damage."
Allergic Rhinitis,"sneezing, runny nose, itchy eyes, nasal congestion, postnasal drip","Avoid allergens; Use antihistamines; Keep windows closed during pollen season; Clean regularly",mild,"Allergic reaction causing nasal symptoms."
Eczema,"dry, itchy, inflamed skin, redness, scaling","Avoid irritants; Use moisturizers; Take prescribed steroids; Keep skin clean",mild,"Chronic skin condition causing inflammation and itching."
Depression,"persistent sadness, loss of interest, fatigue, sleep problems, difficulty concentrating","Seek counseling; Stay connected; Exercise regularly; Consider medications if needed",moderate,"Mood disorder affecting daily life."
Hypertensive Crisis,"severe headache, chest pain, shortness of breath, vision changes, nosebleeds","Seek emergency care immediately; Monitor blood pressure; Follow treatment plan",severe,"Sudden dangerous rise in blood pressure."
COVID-19 Long Haul,"fatigue, brain fog, shortness of breath, chest pain, joint pain","Rest adequately; Follow healthcare advice; Manage symptoms; Pace daily activities",moderate,"Long-term symptoms after COVID-19 infection."
Otitis Media,"ear pain, fever, irritability, difficulty hearing, fluid drainage","Complete antibiotics; Use pain relievers; Keep ear dry; Avoid exposure to smoke",moderate,"Middle ear infection."
Sinusitis,"facial pain, nasal congestion, thick nasal discharge, headache, fever","Use saline sprays; Rest; Take decongestants; Avoid allergens",moderate,"Inflammation of sinus cavities."
Gout,"joint pain, swelling, redness, stiffness, warmth","Limit purine-rich foods; Stay hydrated; Take prescribed meds; Avoid alcohol",moderate,"Inflammation caused by uric acid crystals in joints."
Psoriasis,"red patches, scaling, itching, dry skin, thickened nails","Use moisturizers; Avoid triggers; Use prescribed creams; Avoid scratching",mild,"Chronic autoimmune skin disorder."
Rheumatoid Arthritis,"joint pain, swelling, stiffness, fatigue, fever","Take prescribed meds; Exercise gently; Use heat/cold therapy; Regular checkups",severe,"Autoimmune disorder causing joint inflammation."
Alzheimer's Disease,"memory loss, confusion, difficulty speaking, poor judgment, mood swings","Engage in mental activities; Maintain social contact; Follow medical care; Ensure safety",severe,"Progressive brain disease causing dementia."
Parkinson's Disease,"tremor, stiffness, slow movement, balance problems, speech changes","Exercise regularly; Take medications; Use assistive devices; Maintain good nutrition",severe,"Neurodegenerative disorder affecting movement."
Epilepsy,"seizures, loss of consciousness, staring spells, confusion, muscle spasms","Take medications; Avoid triggers; Ensure safety during seizures; Regular neurologist visits",moderate,"Neurological disorder causing seizures."
Hypothyroidism,"fatigue, weight gain, cold intolerance, constipation, dry skin","Take thyroid hormone; Regular blood tests; Maintain healthy diet; Exercise",moderate,"Underactive thyroid gland causing low hormone levels."
Hyperthyroidism,"weight loss, rapid heartbeat, sweating, nervousness, tremors","Take prescribed meds; Avoid stimulants; Regular monitoring; Manage stress",moderate,"Overactive thyroid gland causing excess hormones."
Mononucleosis,"fatigue, sore throat, fever, swollen lymph nodes, headache","Rest; Avoid strenuous activities; Stay hydrated; Use pain relievers",moderate,"Viral infection causing fatigue and sore throat."
Chickenpox,"itchy rash, fever, tiredness, loss of appetite, headache","Isolate; Use calamine lotion; Avoid scratching; Consult doctor if severe",moderate,"Contagious viral infection causing rash."
Shingles,"painful rash, blisters, itching, fever, fatigue","Keep rash clean; Use antiviral meds; Avoid scratching; Rest",moderate,"Reactivation of chickenpox virus causing painful rash."
Measles,"fever, cough, runny nose, red eyes, rash","Get vaccinated; Isolate if infected; Rest; Drink fluids",severe,"Highly contagious viral illness with rash."
Mumps,"fever, swollen salivary glands, headache, muscle aches, fatigue","Get vaccinated; Rest; Avoid sharing utensils; Maintain hygiene",moderate,"Viral infection causing swollen glands."
Whooping Cough,"severe coughing fits, vomiting, exhaustion, runny nose, fever","Vaccinate; Avoid contact with infants; Practice good hygiene; Seek medical care",severe,"Highly contagious respiratory disease."
Tetanus,"muscle stiffness, jaw cramping, difficulty swallowing, fever, sweating","Get vaccinated; Clean wounds properly; Seek immediate care; Follow booster schedule",severe,"Bacterial infection causing muscle spasms."
Rabies,"fever, headache, muscle weakness, agitation, hydrophobia","Seek immediate medical attention; Avoid animal bites; Vaccinate pets; Clean wounds thoroughly",severe,"Fatal viral infection transmitted by animal bites."
Typhoid Fever,"high fever, weakness, stomach pain, headache, constipation or diarrhea","Drink safe water; Practice hygiene; Take antibiotics fully; Avoid raw foods",severe,"Bacterial infection causing prolonged fever."
Leprosy,"skin lesions, numbness, muscle weakness, eye problems, ulcers","Early diagnosis; Take full antibiotic treatment; Protect skin; Regular medical checkups",severe,"Chronic bacterial infection affecting skin and nerves."
Lung Cancer,"persistent cough, chest pain, weight loss, shortness of breath, coughing blood","Avoid smoking; Seek early medical advice; Maintain healthy lifestyle; Follow treatment plan",severe,"Malignant tumor in lungs."
Breast Cancer,"lump in breast, nipple discharge, skin dimpling, pain, swelling","Regular screening; Self-exams; Maintain healthy weight; Avoid smoking",severe,"Cancer developing in breast tissue."
Prostate Cancer,"frequent urination, weak urine flow, blood in urine, pelvic discomfort, erectile dysfunction","Regular checkups; Healthy diet; Exercise; Follow doctor’s advice",severe,"Cancer of prostate gland."
Skin Cancer,"new or changing mole, sore that doesn't heal, itching, redness, swelling","Avoid excessive sun exposure; Use sunscreen; Regular skin checks; Avoid tanning beds",severe,"Malignant growth on skin cells."
Colorectal Cancer,"blood in stool, abdominal pain, weight loss, fatigue, change in bowel habits","Regular screening; Healthy diet; Exercise; Avoid smoking",severe,"Cancer of colon or rectum."
Leukemia,"fatigue, frequent infections, easy bruising, bleeding, swollen lymph nodes","Seek medical care; Follow treatment; Maintain nutrition; Avoid infections",severe,"Cancer of blood-forming tissues."
Lymphoma,"swollen lymph nodes, fever, night sweats, weight loss, fatigue","Follow treatment plan; Avoid infections; Maintain healthy diet; Regular checkups",severe,"Cancer of lymphatic system."
Multiple Sclerosis,"numbness, tingling, weakness, vision problems, balance issues","Take prescribed meds; Physical therapy; Avoid heat; Regular neurology visits",severe,"Autoimmune disease affecting nerves."
Celiac Disease,"diarrhea, abdominal pain, bloating, weight loss, fatigue","Avoid gluten; Eat balanced diet; Take supplements; Monitor symptoms",moderate,"Immune reaction to gluten damaging the small intestine."
Irritable Bowel Syndrome,"abdominal pain, bloating, diarrhea, constipation, gas","Manage stress; Avoid trigger foods; Eat fiber-rich diet; Stay hydrated",mild,"Disorder causing digestive symptoms without damage."
Crohn's Disease,"diarrhea, abdominal pain, weight loss, fatigue, blood in stool","Take medications; Balanced diet; Avoid smoking; Regular doctor visits",severe,"Chronic inflammatory bowel disease."
Ulcerative Colitis,"diarrhea with blood, abdominal pain, urgency, fatigue, weight loss","Medications; Healthy diet; Avoid NSAIDs; Regular monitoring",severe,"Inflammatory bowel disease affecting colon."
Gallstones,"abdominal pain, nausea, vomiting, indigestion, bloating","Avoid fatty foods; Maintain healthy weight; Eat small meals; Stay hydrated",moderate,"Solid particles forming in gallbladder."
Kidney Stones,"severe flank pain, blood in urine, nausea, vomiting, frequent urination","Drink plenty of water; Avoid excess salt; Maintain healthy diet; Follow doctor advice",moderate,"Hard deposits in kidneys causing pain."
Urinary Incontinence,"leakage of urine, frequent urination, urgency, nighttime urination, discomfort","Pelvic exercises; Avoid bladder irritants; Maintain healthy weight; Consult doctor",mild,"Loss of bladder control."
Sleep Apnea,"loud snoring, daytime sleepiness, choking during sleep, morning headaches, irritability","Maintain healthy weight; Use CPAP device; Avoid alcohol; Sleep on side",moderate,"Breathing interruptions during sleep."
Obesity,"excess body fat, fatigue, shortness of breath, joint pain, snoring","Healthy diet; Exercise regularly; Behavioral therapy; Medical interventions",severe,"Excessive body fat increasing health risks."
Anxiety Disorder,"excessive worry, restlessness, fatigue, difficulty concentrating, irritability","Counseling; Medication; Relaxation techniques; Regular exercise",moderate,"Mental health disorder causing anxiety symptoms."
Post-Traumatic Stress Disorder,"flashbacks, nightmares, severe anxiety, avoidance, mood changes","Psychotherapy; Support groups; Medication; Stress management",moderate,"Anxiety disorder after traumatic events."
Bipolar Disorder,"mood swings, impulsiveness, fatigue, irritability, sleep changes","Medication; Therapy; Regular sleep; Avoid alcohol and drugs",severe,"Mood disorder with alternating mania and depression."
Schizophrenia,"hallucinations, delusions, disorganized speech, social withdrawal, cognitive difficulties","Medication; Therapy; Social support; Avoid drugs",severe,"Chronic mental disorder affecting thinking and behavior."
Substance Use Disorder,"cravings, withdrawal symptoms, tolerance, social problems, mood swings","Counseling; Medical treatment; Support groups; Avoid triggers",severe,"Condition involving dependence on substances."
Autism Spectrum Disorder,"social difficulties, repetitive behaviors, communication challenges, sensory sensitivity, routine dependence","Behavioral therapy; Speech therapy; Educational support; Family counseling",moderate,"Developmental disorder affecting social interaction."
Attention Deficit Hyperactivity Disorder,"inattention, hyperactivity, impulsiveness, forgetfulness, difficulty organizing tasks","Behavior therapy; Medication; Structured routine; Parent training",moderate,"Neurodevelopmental disorder affecting attention and behavior."
Down Syndrome,"intellectual disability, distinct facial features, hypotonia, developmental delays, heart defects","Early intervention; Supportive therapies; Medical care; Family support",moderate,"Genetic disorder caused by extra chromosome 21."
Cystic Fibrosis,"chronic cough, lung infections, salty skin, poor growth, fatty stools","Airway clearance; Medications; Nutrition management; Regular monitoring",severe,"Genetic disorder affecting lungs and digestive system."
Hemophilia,"excessive bleeding, easy bruising, joint pain, swelling, blood in urine","Avoid injuries; Take clotting factor; Regular checkups; Avoid aspirin",severe,"Genetic bleeding disorder."
Sickle Cell Anemia,"anemia, pain episodes, swelling, frequent infections, delayed growth","Pain management; Avoid triggers; Hydration; Regular medical care",severe,"Genetic blood disorder causing misshapen red cells."
Thalassemia,"fatigue, weakness, pale skin, slow growth, bone deformities","Regular blood transfusions; Iron chelation; Genetic counseling; Medical follow-up",severe,"Inherited blood disorder causing anemia."
Osteoporosis,"bone fractures, back pain, loss of height, stooped posture, brittle nails","Calcium and vitamin D; Weight-bearing exercise; Avoid smoking; Bone density tests",moderate,"Condition causing weak bones."
Osteoarthritis,"joint pain, stiffness, swelling, reduced motion, tenderness","Maintain healthy weight; Exercise; Pain relief meds; Physical therapy",moderate,"Degenerative joint disease."
Fibromyalgia,"widespread pain, fatigue, sleep disturbance, memory problems, headaches","Exercise; Stress management; Medications; Sleep hygiene",moderate,"Chronic pain syndrome."
Chronic Kidney Disease,"fatigue, swelling, nausea, decreased urine output, itching","Manage blood pressure; Avoid NSAIDs; Healthy diet; Regular monitoring",severe,"Gradual loss of kidney function."
Acute Kidney Injury,"reduced urine output, swelling, confusion, fatigue, nausea","Treat underlying cause; Hydrate; Monitor kidney function; Medical care",severe,"Sudden kidney failure."
Stroke,"sudden numbness, confusion, difficulty speaking, loss of balance, severe headache","Emergency care; Control blood pressure; Healthy lifestyle; Follow medical advice",severe,"Interruption of blood flow to brain."
Heart Attack,"chest pain, shortness of breath, nausea, sweating, lightheadedness","Call emergency; Avoid exertion; Take aspirin; Follow doctor’s instructions",severe,"Blockage of blood flow to heart muscle."
Congestive Heart Failure,"shortness of breath, fatigue, swollen legs, rapid heartbeat, persistent cough","Limit salt intake; Medications; Monitor weight; Regular doctor visits",severe,"Heart's inability to pump blood effectively."
Coronary Artery Disease,"chest pain, shortness of breath, fatigue, heart palpitations, dizziness","Healthy diet; Exercise; Quit smoking; Medications",severe,"Narrowing of coronary arteries causing heart issues."
Peripheral Artery Disease,"leg pain, numbness, weakness, cold feet, sores","Exercise; Quit smoking; Healthy diet; Medications",moderate,"Reduced blood flow to limbs."
Deep Vein Thrombosis,"leg swelling, pain, redness, warmth, cramping","Avoid long immobility; Compression stockings; Medications; Stay hydrated",severe,"Blood clots in deep veins."
Pulmonary Embolism,"sudden shortness of breath, chest pain, cough, rapid heartbeat, dizziness","Seek emergency care; Avoid immobility; Use anticoagulants; Follow medical advice",severe,"Blocked artery in lungs due to clot."
COPD,"chronic cough, shortness of breath, wheezing, chest tightness, fatigue","Quit smoking; Medications; Pulmonary rehab; Avoid pollutants",severe,"Chronic lung disease causing airflow obstruction."
